"","text","name","handle"
"165","RT @CITY1051: 📻▶️ALL FALLS DOWN  - @kanyewest FT @Syleena_Johnson || 

#TheHipHopRide    with 

@Thekshowkshow 

#WayBackWednesday https://…","Kanye West","@KanyeWest"
"166","YOOO THAT THE FUCK IS @kanyewest SAYING 😂😂😂😂 @KimKardashian face though😂😂😂😂😂😂 https://t.co/ps43m0urxF","Kanye West","@KanyeWest"
"167","RT @DONTWORRYBOIS: @elonmusk @kanyewest what're your opinions on fuel emissions","Kanye West","@KanyeWest"
"168","While I was away, a young artist from the UK came to my place in New York and put this 2 meter by 2 meter painting… https://t.co/AbsLDGEVnD","Kanye West","@KanyeWest"
"169","So people are just gonna forget that @kanyewest Is a whole Trump supporter.  Man just throw the motherfucka away !!!","Kanye West","@KanyeWest"
"170","@chartdata @itsstillomari @kanyewest @PUSHA_T A legend, one of the best songs of all time🖤 https://t.co/AWsATsSu1p","Kanye West","@KanyeWest"
"171","Don't worry @kanyewest, I got you 👊🏾👊🏼 https://t.co/R5dyqajV6T","Kanye West","@KanyeWest"
"172","RT @kanyewest: we don’t try we do","Kanye West","@KanyeWest"
"173","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"174","@A_mz20 @chartdata @kanyewest @PUSHA_T I’m like drake but this song is better than Drakes entire career","Kanye West","@KanyeWest"
"175","@jeepslovemud @MikeTokes @1k_kilgore @OGMaco @JordanPeele @JColeNC @carterreynolds @kanyewest @RickRoss @Wale Not s… https://t.co/uKeUmdmdH9","Kanye West","@KanyeWest"
"176","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"177","RT @Piracy2017: FIFTH DIMENSION AQUARIUS #MUSIC #northernsoul #Soul #musicvideo #dance @Zendaya @SnoopDogg @britneyspears @GOODBRUTHA2 @kan…","Kanye West","@KanyeWest"
"178","Good morning @kanyewest i hope you have a good and positive day.","Kanye West","@KanyeWest"
"179","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"180","@natalietran You just described @kanyewest ‘s Sunday morning sessions.","Kanye West","@KanyeWest"
"181","@chartdata @kanyewest @PUSHA_T You did it @Trent_147","Kanye West","@KanyeWest"
"182","Watch: @KanyeWest's #SundayService Choir Director Jason White &amp; His Wife Geneen Give Insight On The Series [EXCLUSI… https://t.co/lEkPFokF2B","Kanye West","@KanyeWest"
"183","Who you got? 👀 

The ‘Hypebeasts’ or the Casuals?
The Adidas Yeezy Boost 350 V2 ‘Oreo’ or the Adidas x @OiPolloi ‘A… https://t.co/pEsYgXuwhH","Kanye West","@KanyeWest"
"184","@kanyewest @KimKardashian @DondaCreate We're going to get the numbers and everything else that we need to surpass o… https://t.co/oZAx2a4WAB","Kanye West","@KanyeWest"
"185","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"186","RT @busola___: Don’t change for no one @kanyewest https://t.co/LxkUhIcnVJ","Kanye West","@KanyeWest"
"187","RT @CBM1LGr4U: @chartdata @kanyewest @chrisbrown @KidCudi Chris Brown was the best in the song","Kanye West","@KanyeWest"
"188","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"189","@chartdata @kanyewest @chrisbrown @KidCudi Chris Brown was the best in the song","Kanye West","@KanyeWest"
"190","RT @kanyewest: Fuck that sickomode song        Family first and always","Kanye West","@KanyeWest"
"191","RT @chartdata: .@kanyewest, @chrisbrown and @KidCudi's ""Waves"" has now surpassed 200 million streams on Spotify.","Kanye West","@KanyeWest"
"192","@kanyewest @KimKardashian @DondaCreate Remember, If you were to sell a $1 product to every single American you'd recieve $328 Million.","Kanye West","@KanyeWest"
"193","RT @kanyewest: Love everyone      Start the year clean      Just be     All love","Kanye West","@KanyeWest"
"194","RT @busola___: Don’t change for no one @kanyewest https://t.co/LxkUhIcnVJ","Kanye West","@KanyeWest"
"195","@Tazological @VerseofaRose @Microsingular @kanyewest Respectfully, I’m interested in how you’ve come to that conclusion.","Kanye West","@KanyeWest"
"196","RT @chartdata: .@kanyewest and @PUSHA_T's ""Runaway"" has now surpassed 100 million streams on Spotify.","Kanye West","@KanyeWest"
"197","RT @Complex: 11 years ago today @EstelleDarlings and @kanyewest dropped ""American Boy"" 

A classic. 
https://t.co/Lq5TongbPV","Kanye West","@KanyeWest"
"198","@Fella0001 @bin_oshabe @kanyewest He must be in Chobe already.....","Kanye West","@KanyeWest"
"199","@iHeartRadio @kanyewest @DUALIPA dua's left chat","Kanye West","@KanyeWest"
"200","RT @Fella0001: You people said that Kanye West @kanyewest is coming back to Uganda. The 3rd month ended this is now the 4th month huh Where…","Kanye West","@KanyeWest"
"201","RT @Beats1: The 5 Best Songs on @AppleMusic as chosen by @cgainsbourg:

@kanyewest - Ghost Town ft. @partynextdoor
@bobdylan - Lay Lady Lay…","Kanye West","@KanyeWest"
"202","@kanyewest @KimKardashian @DondaCreate Trust me when I say that there's no Trick or scam. The products value is 100% pure.","Kanye West","@KanyeWest"
"203","@ITDiscounted @Phil4RealBeatz @EdKrassen @RepAdamSchiff @kanyewest Dude, that shit wasn’t even aimed at you, it was towards Phil.","Kanye West","@KanyeWest"
"204","RT @shamtown: Ya know, @MeekMill and @kanyewest have done more to reform the criminal justice system in two years than the @LPNational has…","Kanye West","@KanyeWest"
